Gator Windows/Focal Loci,ABYQ_006335|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006336|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006337|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006338|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006339|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006340|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006341|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006342|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006343|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006344|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006345|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006346|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006347|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006348|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006349|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006350|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006351|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006352|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006353|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006354|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006355|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006356|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006357|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006358|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006359|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006360|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006361|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006362|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006363|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006364|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006365|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006366|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006367|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006368|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006369|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006370|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006371|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006372|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006373|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006374|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006375|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006376|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006377|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006378|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006379|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006380|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006381|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006382|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006383|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006384|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006385|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006386|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006387|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006388|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006389|_|GCA_009296025.1_ASM929602v1.gbk,Gator Focal Window,Gator Focal Score
window_9--GCA_000938975.1_Siranensis.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7748374288832494,0.8928125015622331,0.9720532702866082,1.0,1.0,0.0,0.9720532702866082,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027696761351683107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_17--GCA_009296025.1_ASM929602v1.gbff,0.5744946806934654
window_13--GCA_000418455.1_ASM41845v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7748374288832494,0.8928125015622331,0.9720532702866082,1.0,1.0,0.0,0.9720532702866082,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027696761351683107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_17--GCA_009296025.1_ASM929602v1.gbff,0.5744946806934654
window_14--GCA_002812405.1_ASM281240v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7748374288832494,0.0,0.9720532702866082,1.0,1.0,0.0,0.9720532702866082,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027696761351683107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_17--GCA_009296025.1_ASM929602v1.gbff,0.5261612452618637
window_24--GCA_014205315.1_ASM1420531v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7748374288832494,0.8928125015622331,0.9720532702866082,1.0,1.0,0.0,0.9720532702866082,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027696761351683107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_17--GCA_009296025.1_ASM929602v1.gbff,0.5203585262970737
window_6--GCA_030122705.1_ASM3012270v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7748374288832494,0.0,0.9720532702866082,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027696761351683107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_17--GCA_009296025.1_ASM929602v1.gbff,0.47353801934011036
window_28--GCA_040653035.1_ASM4065303v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7748374288832494,0.0,0.9720532702866082,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027696761351683107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_17--GCA_009296025.1_ASM929602v1.gbff,0.47353801934011036
window_3--GCA_015689475.1_ASM1568947v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7748374288832494,0.0,0.9720532702866082,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_17--GCA_009296025.1_ASM929602v1.gbff,0.4735230253786222
window_10--GCA_033547115.1_ASM3354711v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7748374288832494,0.0,0.9720532702866082,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_17--GCA_009296025.1_ASM929602v1.gbff,0.4735230253786222
window_27--GCA_017874715.1_ASM1787471v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7748374288832494,0.8928125015622331,0.9720532702866082,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027696761351683107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_17--GCA_009296025.1_ASM929602v1.gbff,0.4677353003753204
window_29--GCA_025568765.1_ASM2556876v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7748374288832494,0.8928125015622331,0.9720532702866082,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027696761351683107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_17--GCA_009296025.1_ASM929602v1.gbff,0.30532683718614523
window_30--GCA_041365895.1_ASM4136589v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7748374288832494,0.8928125015622331,0.9720532702866082,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027696761351683107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_17--GCA_009296025.1_ASM929602v1.gbff,0.30532683718614523
