query_protein	query_type	is_nrps	is_pks	start_position	end_position	locus	genome_contig_id	window
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	5255823	5256195	AAXR_004598|_|GCA_001704275.1_ASM170427v1.gbk	GCA_001704275.1_ASM170427v1.gbk|-|CP011533.1	11
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	5256197	5256668	AAXR_004599|_|GCA_001704275.1_ASM170427v1.gbk	GCA_001704275.1_ASM170427v1.gbk|-|CP011533.1	11
IO40_RS0119000_elongation_factor_G	req	False	False	5256707	5258828	AAXR_004600|_|GCA_001704275.1_ASM170427v1.gbk	GCA_001704275.1_ASM170427v1.gbk|-|CP011533.1	11
IO40_RS0119000_elongation_factor_G	req	False	False	266317	268447	AHFL_001384|_|GCA_040637005.1_ASM4063700v1.gbk	GCA_040637005.1_ASM4063700v1.gbk|-|JBEZVO010000004.1	12
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	268484	268955	AHFL_001385|_|GCA_040637005.1_ASM4063700v1.gbk	GCA_040637005.1_ASM4063700v1.gbk|-|JBEZVO010000004.1	12
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	268957	269329	AHFL_001386|_|GCA_040637005.1_ASM4063700v1.gbk	GCA_040637005.1_ASM4063700v1.gbk|-|JBEZVO010000004.1	12
IO40_RS0119000_elongation_factor_G	req	False	False	2664147	2666172	AAZC_002301|_|GCA_001865315.1_ASM186531v1.gbk	GCA_001865315.1_ASM186531v1.gbk|-|KV861362.1	13
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	2666476	2666947	AAZC_002303|_|GCA_001865315.1_ASM186531v1.gbk	GCA_001865315.1_ASM186531v1.gbk|-|KV861362.1	13
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	2666949	2667321	AAZC_002304|_|GCA_001865315.1_ASM186531v1.gbk	GCA_001865315.1_ASM186531v1.gbk|-|KV861362.1	13
IO40_RS0119000_elongation_factor_G	req	False	False	670998	673125	ABZC_005008|_|GCA_009604455.1_ASM960445v1.gbk	GCA_009604455.1_ASM960445v1.gbk|-|WEGL01000003.1	14
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	673164	673635	ABZC_005009|_|GCA_009604455.1_ASM960445v1.gbk	GCA_009604455.1_ASM960445v1.gbk|-|WEGL01000003.1	14
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	673637	674009	ABZC_005010|_|GCA_009604455.1_ASM960445v1.gbk	GCA_009604455.1_ASM960445v1.gbk|-|WEGL01000003.1	14
IO40_RS0119000_elongation_factor_G	req	False	False	921758	923888	AIVU_000840|_|GCA_040796665.1_ASM4079666v1.gbk	GCA_040796665.1_ASM4079666v1.gbk|-|JBFNGR010000001.1	15
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	923927	924398	AIVU_000841|_|GCA_040796665.1_ASM4079666v1.gbk	GCA_040796665.1_ASM4079666v1.gbk|-|JBFNGR010000001.1	15
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	924400	924772	AIVU_000842|_|GCA_040796665.1_ASM4079666v1.gbk	GCA_040796665.1_ASM4079666v1.gbk|-|JBFNGR010000001.1	15
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	5629	6001	AEPM_003472|_|GCA_033792945.1_ASM3379294v1.gbk	GCA_033792945.1_ASM3379294v1.gbk|-|JARAVV010000261.1	16
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	6003	6474	AEPM_003473|_|GCA_033792945.1_ASM3379294v1.gbk	GCA_033792945.1_ASM3379294v1.gbk|-|JARAVV010000261.1	16
IO40_RS0119000_elongation_factor_G	req	False	False	6513	8643	AEPM_003474|_|GCA_033792945.1_ASM3379294v1.gbk	GCA_033792945.1_ASM3379294v1.gbk|-|JARAVV010000261.1	16
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	170920	171292	AGPR_000158|_|GCA_040612275.1_ASM4061227v1.gbk	GCA_040612275.1_ASM4061227v1.gbk|-|JBEXPX010000001.1	17
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	171294	171765	AGPR_000159|_|GCA_040612275.1_ASM4061227v1.gbk	GCA_040612275.1_ASM4061227v1.gbk|-|JBEXPX010000001.1	17
IO40_RS0119000_elongation_factor_G	req	False	False	171803	173927	AGPR_000160|_|GCA_040612275.1_ASM4061227v1.gbk	GCA_040612275.1_ASM4061227v1.gbk|-|JBEXPX010000001.1	17
IO40_RS0119000_elongation_factor_G	req	False	False	1402580	1404680	ADWU_001722|_|GCA_026340075.1_ASM2634007v1.gbk	GCA_026340075.1_ASM2634007v1.gbk|-|JAPEPN010000001.1	NA
IO40_RS0119000_elongation_factor_G	req	False	False	3578434	3580567	ADWU_003550|_|GCA_026340075.1_ASM2634007v1.gbk	GCA_026340075.1_ASM2634007v1.gbk|-|JAPEPN010000001.1	18
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	3580606	3581077	ADWU_003551|_|GCA_026340075.1_ASM2634007v1.gbk	GCA_026340075.1_ASM2634007v1.gbk|-|JAPEPN010000001.1	18
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	3581079	3581451	ADWU_003552|_|GCA_026340075.1_ASM2634007v1.gbk	GCA_026340075.1_ASM2634007v1.gbk|-|JAPEPN010000001.1	18
IO40_RS0119000_elongation_factor_G	req	False	False	117643	119770	ACFE_003810|_|GCA_010550245.1_ASM1055024v1.gbk	GCA_010550245.1_ASM1055024v1.gbk|-|JAAGLU010000026.1	19
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	119809	120280	ACFE_003811|_|GCA_010550245.1_ASM1055024v1.gbk	GCA_010550245.1_ASM1055024v1.gbk|-|JAAGLU010000026.1	19
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	120283	120655	ACFE_003812|_|GCA_010550245.1_ASM1055024v1.gbk	GCA_010550245.1_ASM1055024v1.gbk|-|JAAGLU010000026.1	19
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	2095	2467	ACXS_001793|_|GCA_016734865.1_ASM1673486v1.gbk	GCA_016734865.1_ASM1673486v1.gbk|-|JAERII010000196.1	20
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	2469	2940	ACXS_001794|_|GCA_016734865.1_ASM1673486v1.gbk	GCA_016734865.1_ASM1673486v1.gbk|-|JAERII010000196.1	20
IO40_RS0119000_elongation_factor_G	req	False	False	2979	5106	ACXS_001795|_|GCA_016734865.1_ASM1673486v1.gbk	GCA_016734865.1_ASM1673486v1.gbk|-|JAERII010000196.1	20
IO40_RS0119000_elongation_factor_G	req	False	False	45549	47670	AHVS_003299|_|GCA_040650675.1_ASM4065067v1.gbk	GCA_040650675.1_ASM4065067v1.gbk|-|JBEZHQ010000011.1	21
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	47709	48180	AHVS_003300|_|GCA_040650675.1_ASM4065067v1.gbk	GCA_040650675.1_ASM4065067v1.gbk|-|JBEZHQ010000011.1	21
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	48182	48554	AHVS_003301|_|GCA_040650675.1_ASM4065067v1.gbk	GCA_040650675.1_ASM4065067v1.gbk|-|JBEZHQ010000011.1	21
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	42734	43106	AAKZ_004163|_|GCA_000720715.1_ASM72071v1.gbk	GCA_000720715.1_ASM72071v1.gbk|-|JOCR01000028.1	22
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	43108	43579	AAKZ_004164|_|GCA_000720715.1_ASM72071v1.gbk	GCA_000720715.1_ASM72071v1.gbk|-|JOCR01000028.1	22
IO40_RS0119000_elongation_factor_G	req	False	False	43618	45739	AAKZ_004165|_|GCA_000720715.1_ASM72071v1.gbk	GCA_000720715.1_ASM72071v1.gbk|-|JOCR01000028.1	22
IO40_RS0119000_elongation_factor_G	req	False	False	251388	253521	AIRL_001571|_|GCA_040701585.1_ASM4070158v1.gbk	GCA_040701585.1_ASM4070158v1.gbk|-|JBFBDP010000005.1	23
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	253560	254031	AIRL_001572|_|GCA_040701585.1_ASM4070158v1.gbk	GCA_040701585.1_ASM4070158v1.gbk|-|JBFBDP010000005.1	23
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	254033	254405	AIRL_001573|_|GCA_040701585.1_ASM4070158v1.gbk	GCA_040701585.1_ASM4070158v1.gbk|-|JBFBDP010000005.1	23
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	6775341	6775713	AEYC_005973|_|GCA_035989285.1_ASM3598928v1.gbk	GCA_035989285.1_ASM3598928v1.gbk|-|CP108513.1	24
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	6775716	6776187	AEYC_005974|_|GCA_035989285.1_ASM3598928v1.gbk	GCA_035989285.1_ASM3598928v1.gbk|-|CP108513.1	24
IO40_RS0119000_elongation_factor_G	req	False	False	6776226	6778353	AEYC_005975|_|GCA_035989285.1_ASM3598928v1.gbk	GCA_035989285.1_ASM3598928v1.gbk|-|CP108513.1	24
IO40_RS0119000_elongation_factor_G	req	False	False	9216034	9218239	AEYC_008133|_|GCA_035989285.1_ASM3598928v1.gbk	GCA_035989285.1_ASM3598928v1.gbk|-|CP108513.1	NA
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	17094	17466	ADGF_001282|_|GCA_019733245.1_ASM1973324v1.gbk	GCA_019733245.1_ASM1973324v1.gbk|-|JAIGQA010000141.1	25
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	17468	17939	ADGF_001283|_|GCA_019733245.1_ASM1973324v1.gbk	GCA_019733245.1_ASM1973324v1.gbk|-|JAIGQA010000141.1	25
IO40_RS0119000_elongation_factor_G	req	False	False	17978	20105	ADGF_001284|_|GCA_019733245.1_ASM1973324v1.gbk	GCA_019733245.1_ASM1973324v1.gbk|-|JAIGQA010000141.1	25
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	5454018	5454390	AEZB_004823|_|GCA_036010645.1_ASM3601064v1.gbk	GCA_036010645.1_ASM3601064v1.gbk|-|CP108261.1	26
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	5454392	5454863	AEZB_004824|_|GCA_036010645.1_ASM3601064v1.gbk	GCA_036010645.1_ASM3601064v1.gbk|-|CP108261.1	26
IO40_RS0119000_elongation_factor_G	req	False	False	5454901	5457031	AEZB_004825|_|GCA_036010645.1_ASM3601064v1.gbk	GCA_036010645.1_ASM3601064v1.gbk|-|CP108261.1	26
IO40_RS0119000_elongation_factor_G	req	False	False	8018902	8020999	AEZB_007014|_|GCA_036010645.1_ASM3601064v1.gbk	GCA_036010645.1_ASM3601064v1.gbk|-|CP108261.1	NA
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	397039	397411	AGZL_002667|_|GCA_040633305.1_ASM4063330v1.gbk	GCA_040633305.1_ASM4063330v1.gbk|-|JBEYKH010000005.1	27
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	397413	397884	AGZL_002668|_|GCA_040633305.1_ASM4063330v1.gbk	GCA_040633305.1_ASM4063330v1.gbk|-|JBEYKH010000005.1	27
IO40_RS0119000_elongation_factor_G	req	False	False	397922	400052	AGZL_002669|_|GCA_040633305.1_ASM4063330v1.gbk	GCA_040633305.1_ASM4063330v1.gbk|-|JBEYKH010000005.1	27
IO40_RS0119000_elongation_factor_G	req	False	False	46549	48676	AGYD_005525|_|GCA_040632115.1_ASM4063211v1.gbk	GCA_040632115.1_ASM4063211v1.gbk|-|JBEYBH010000026.1	28
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	48715	49186	AGYD_005526|_|GCA_040632115.1_ASM4063211v1.gbk	GCA_040632115.1_ASM4063211v1.gbk|-|JBEYBH010000026.1	28
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	49188	49560	AGYD_005527|_|GCA_040632115.1_ASM4063211v1.gbk	GCA_040632115.1_ASM4063211v1.gbk|-|JBEYBH010000026.1	28
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	16442	16814	AIAQ_002679|_|GCA_040653515.1_ASM4065351v1.gbk	GCA_040653515.1_ASM4065351v1.gbk|-|JBEZOH010000014.1	29
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	16817	17288	AIAQ_002680|_|GCA_040653515.1_ASM4065351v1.gbk	GCA_040653515.1_ASM4065351v1.gbk|-|JBEZOH010000014.1	29
IO40_RS0119000_elongation_factor_G	req	False	False	17326	19456	AIAQ_002681|_|GCA_040653515.1_ASM4065351v1.gbk	GCA_040653515.1_ASM4065351v1.gbk|-|JBEZOH010000014.1	29
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	8475	8847	AFOY_009071|_|GCA_039527835.1_ASM3952783v1.gbk	GCA_039527835.1_ASM3952783v1.gbk|-|BAAAKQ010000247.1	30
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	8849	9320	AFOY_009072|_|GCA_039527835.1_ASM3952783v1.gbk	GCA_039527835.1_ASM3952783v1.gbk|-|BAAAKQ010000247.1	30
IO40_RS0119000_elongation_factor_G	req	False	False	9359	11486	AFOY_009073|_|GCA_039527835.1_ASM3952783v1.gbk	GCA_039527835.1_ASM3952783v1.gbk|-|BAAAKQ010000247.1	30
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	271648	272020	ABPW_006061|_|GCA_004123705.1_ASM412370v1.gbk	GCA_004123705.1_ASM412370v1.gbk|-|RWGV01000051.1	31
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	272022	272493	ABPW_006062|_|GCA_004123705.1_ASM412370v1.gbk	GCA_004123705.1_ASM412370v1.gbk|-|RWGV01000051.1	31
IO40_RS0119000_elongation_factor_G	req	False	False	272532	274653	ABPW_006063|_|GCA_004123705.1_ASM412370v1.gbk	GCA_004123705.1_ASM412370v1.gbk|-|RWGV01000051.1	31
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	38431	38803	ADLU_001732|_|GCA_021394575.1_ASM2139457v1.gbk	GCA_021394575.1_ASM2139457v1.gbk|-|JAJVLH010000005.1	32
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	38805	39276	ADLU_001733|_|GCA_021394575.1_ASM2139457v1.gbk	GCA_021394575.1_ASM2139457v1.gbk|-|JAJVLH010000005.1	32
IO40_RS0119000_elongation_factor_G	req	False	False	39315	41442	ADLU_001734|_|GCA_021394575.1_ASM2139457v1.gbk	GCA_021394575.1_ASM2139457v1.gbk|-|JAJVLH010000005.1	32
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	4313993	4314365	ACTQ_004635|_|GCA_014697945.1_ASM1469794v1.gbk	GCA_014697945.1_ASM1469794v1.gbk|-|JACWUQ010000001.1	33
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	4314367	4314838	ACTQ_004636|_|GCA_014697945.1_ASM1469794v1.gbk	GCA_014697945.1_ASM1469794v1.gbk|-|JACWUQ010000001.1	33
IO40_RS0119000_elongation_factor_G	req	False	False	4314876	4317006	ACTQ_004637|_|GCA_014697945.1_ASM1469794v1.gbk	GCA_014697945.1_ASM1469794v1.gbk|-|JACWUQ010000001.1	33
IO40_RS0119000_elongation_factor_G	req	False	False	341	2468	AFSF_006630|_|GCA_039538545.1_ASM3953854v1.gbk	GCA_039538545.1_ASM3953854v1.gbk|-|BAABCE010000015.1	34
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	2507	2978	AFSF_006631|_|GCA_039538545.1_ASM3953854v1.gbk	GCA_039538545.1_ASM3953854v1.gbk|-|BAABCE010000015.1	34
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	2980	3352	AFSF_006632|_|GCA_039538545.1_ASM3953854v1.gbk	GCA_039538545.1_ASM3953854v1.gbk|-|BAABCE010000015.1	34
IO40_RS0119000_elongation_factor_G	req	False	False	29022	31149	AGWX_004578|_|GCA_040631045.1_ASM4063104v1.gbk	GCA_040631045.1_ASM4063104v1.gbk|-|JBEXYS010000015.1	35
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	31188	31659	AGWX_004579|_|GCA_040631045.1_ASM4063104v1.gbk	GCA_040631045.1_ASM4063104v1.gbk|-|JBEXYS010000015.1	35
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	31661	32033	AGWX_004580|_|GCA_040631045.1_ASM4063104v1.gbk	GCA_040631045.1_ASM4063104v1.gbk|-|JBEXYS010000015.1	35
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	54365	54737	AERA_002612|_|GCA_033793905.1_ASM3379390v1.gbk	GCA_033793905.1_ASM3379390v1.gbk|-|JARAXO010000020.1	36
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	54739	55210	AERA_002613|_|GCA_033793905.1_ASM3379390v1.gbk	GCA_033793905.1_ASM3379390v1.gbk|-|JARAXO010000020.1	36
IO40_RS0119000_elongation_factor_G	req	False	False	55249	57376	AERA_002614|_|GCA_033793905.1_ASM3379390v1.gbk	GCA_033793905.1_ASM3379390v1.gbk|-|JARAXO010000020.1	36
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	29830	30202	ADPC_002804|_|GCA_023072755.1_ASM2307275v1.gbk	GCA_023072755.1_ASM2307275v1.gbk|-|JALLGM010000028.1	37
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	30205	30676	ADPC_002805|_|GCA_023072755.1_ASM2307275v1.gbk	GCA_023072755.1_ASM2307275v1.gbk|-|JALLGM010000028.1	37
IO40_RS0119000_elongation_factor_G	req	False	False	30712	32836	ADPC_002806|_|GCA_023072755.1_ASM2307275v1.gbk	GCA_023072755.1_ASM2307275v1.gbk|-|JALLGM010000028.1	37
IO40_RS0119000_elongation_factor_G	req	False	False	30717	32844	AGMG_004469|_|GCA_040610035.1_ASM4061003v1.gbk	GCA_040610035.1_ASM4061003v1.gbk|-|JBEXLP010000042.1	38
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	32883	33354	AGMG_004470|_|GCA_040610035.1_ASM4061003v1.gbk	GCA_040610035.1_ASM4061003v1.gbk|-|JBEXLP010000042.1	38
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	33356	33728	AGMG_004471|_|GCA_040610035.1_ASM4061003v1.gbk	GCA_040610035.1_ASM4061003v1.gbk|-|JBEXLP010000042.1	38
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	646386	646758	ADNT_000554|_|GCA_022399585.1_ASM2239958v1.gbk	GCA_022399585.1_ASM2239958v1.gbk|-|JAJQMY010000009.1	39
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	646760	647231	ADNT_000555|_|GCA_022399585.1_ASM2239958v1.gbk	GCA_022399585.1_ASM2239958v1.gbk|-|JAJQMY010000009.1	39
IO40_RS0119000_elongation_factor_G	req	False	False	647270	649397	ADNT_000556|_|GCA_022399585.1_ASM2239958v1.gbk	GCA_022399585.1_ASM2239958v1.gbk|-|JAJQMY010000009.1	39
IO40_RS0119000_elongation_factor_G	req	False	False	676998	679125	AAVV_002707|_|GCA_001514285.1_ASM151428v1.gbk	GCA_001514285.1_ASM151428v1.gbk|-|KQ949025.1	40
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	679164	679635	AAVV_002708|_|GCA_001514285.1_ASM151428v1.gbk	GCA_001514285.1_ASM151428v1.gbk|-|KQ949025.1	40
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	679638	680010	AAVV_002709|_|GCA_001514285.1_ASM151428v1.gbk	GCA_001514285.1_ASM151428v1.gbk|-|KQ949025.1	40
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	5998	6370	AFQV_002618|_|GCA_039533765.1_ASM3953376v1.gbk	GCA_039533765.1_ASM3953376v1.gbk|-|BAAAUD010000029.1	41
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	6372	6843	AFQV_002619|_|GCA_039533765.1_ASM3953376v1.gbk	GCA_039533765.1_ASM3953376v1.gbk|-|BAAAUD010000029.1	41
IO40_RS0119000_elongation_factor_G	req	False	False	6881	9011	AFQV_002620|_|GCA_039533765.1_ASM3953376v1.gbk	GCA_039533765.1_ASM3953376v1.gbk|-|BAAAUD010000029.1	41
IO40_RS0119000_elongation_factor_G	req	False	False	96706	98833	AHZS_005726|_|GCA_040652955.1_ASM4065295v1.gbk	GCA_040652955.1_ASM4065295v1.gbk|-|JBEZMY010000015.1	42
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	98872	99343	AHZS_005727|_|GCA_040652955.1_ASM4065295v1.gbk	GCA_040652955.1_ASM4065295v1.gbk|-|JBEZMY010000015.1	42
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	99345	99717	AHZS_005728|_|GCA_040652955.1_ASM4065295v1.gbk	GCA_040652955.1_ASM4065295v1.gbk|-|JBEZMY010000015.1	42
