cblaster search
===============
GCA_000297155.3_ASM29715v3
==========================
CP029159.1
----------
Cluster 1, score 11.7270:
Query         Subject      Identity  Coverage  E-value    Bitscore  Start    End      Strand
CAA60459.1    AAOO_007799  91        100       0          17757     9661900  9692548  +     
intermediate  AAOO_007800  -         -         -          -         9692725  9693973  -     
intermediate  AAOO_007801  -         -         -          -         9694154  9695717  -     
intermediate  AAOO_007802  -         -         -          -         9695771  9696470  -     
intermediate  AAOO_007803  -         -         -          -         9696554  9697745  -     
intermediate  AAOO_007804  -         -         -          -         9697735  9698368  -     
intermediate  AAOO_007805  -         -         -          -         9698563  9699838  +     
intermediate  AAOO_007806  -         -         -          -         9699872  9701252  +     
intermediate  AAOO_007807  -         -         -          -         9701258  9701963  +     
intermediate  AAOO_007808  -         -         -          -         9702079  9702298  +     
intermediate  AAOO_007809  -         -         -          -         9702384  9703191  -     
intermediate  AAOO_007810  -         -         -          -         9703235  9704114  +     
intermediate  AAOO_007811  -         -         -          -         9704647  9706126  +     
intermediate  AAOO_007812  -         -         -          -         9706199  9707525  +     
intermediate  AAOO_007813  -         -         -          -         9707514  9708768  +     
intermediate  AAOO_007814  -         -         -          -         9708764  9710162  +     
intermediate  AAOO_007815  -         -         -          -         9710158  9711679  +     
intermediate  AAOO_007816  -         -         -          -         9711682  9713599  +     
intermediate  AAOO_007817  -         -         -          -         9713595  9715791  +     


GCA_002591335.1_ASM259133v1
===========================
CP023992.1
----------
Cluster 4, score 14.0648:
Query         Subject      Identity  Coverage  E-value    Bitscore  Start     End       Strand
intermediate  ABFL_008269  -         -         -          -         10377432  10378035  -     
intermediate  ABFL_008270  -         -         -          -         10378125  10379265  +     
intermediate  ABFL_008271  -         -         -          -         10379409  10379700  +     
intermediate  ABFL_008272  -         -         -          -         10379764  10381366  +     
intermediate  ABFL_008273  -         -         -          -         10381362  10382388  +     
intermediate  ABFL_008274  -         -         -          -         10382384  10383209  +     
intermediate  ABFL_008275  -         -         -          -         10383205  10384996  +     
intermediate  ABFL_008276  -         -         -          -         10384992  10386246  +     
intermediate  ABFL_008277  -         -         -          -         10386235  10387123  +     
intermediate  ABFL_008278  -         -         -          -         10387122  10388292  +     
intermediate  ABFL_008279  -         -         -          -         10388334  10389561  +     
intermediate  ABFL_008280  -         -         -          -         10389557  10391522  +     
intermediate  ABFL_008281  -         -         -          -         10391608  10392829  +     
intermediate  ABFL_008282  -         -         -          -         10393008  10394304  +     
intermediate  ABFL_008283  -         -         -          -         10394621  10395593  +     
intermediate  ABFL_008284  -         -         -          -         10395661  10396216  +     
intermediate  ABFL_008285  -         -         -          -         10396212  10397211  +     
intermediate  ABFL_008286  -         -         -          -         10397207  10398554  +     
intermediate  ABFL_008287  -         -         -          -         10398550  10399123  +     
intermediate  ABFL_008288  -         -         -          -         10399346  10400528  -     
intermediate  ABFL_008289  -         -         -          -         10400552  10401719  -     
CAA60468.1    ABFL_008290  78.6      97        4.41e-183  517       10401753  10402809  -     
CAA60467.1    ABFL_008291  81.3      100       1.02e-192  543       10402875  10404009  +     
CAA60459.1    ABFL_008292  61        67.3      0          7834      10404096  10428501  -     
CAA60461.1    ABFL_008293  72.3      98.6      0          2147      10428506  10433036  -     
CAA60459.1    ABFL_008294  67.8      71.5      0          8972      10433266  10457071  +     
intermediate  ABFL_008295  -         -         -          -         10457278  10459894  -     
intermediate  ABFL_008296  -         -         -          -         10460433  10460793  +     
intermediate  ABFL_008297  -         -         -          -         10460789  10461275  +     
intermediate  ABFL_008298  -         -         -          -         10461121  10462366  -     
intermediate  ABFL_008299  -         -         -          -         10462365  10463616  -     
intermediate  ABFL_008300  -         -         -          -         10463618  10464701  -     
intermediate  ABFL_008301  -         -         -          -         10465031  10466318  +     
intermediate  ABFL_008302  -         -         -          -         10466551  10466803  +     
CAA60461.1    ABFL_008303  28.4      67        1.88e-93   337       10466796  10470039  +     
intermediate  ABFL_008304  -         -         -          -         10470035  10470815  +     
CAA60461.1    ABFL_008305  34.4      31.5      1.35e-42   173       10470900  10472475  +     
CAA60461.1    ABFL_008306  27        27.8      5.2e-27    125       10472536  10473886  +     
intermediate  ABFL_008307  -         -         -          -         10473809  10475891  -     
intermediate  ABFL_008308  -         -         -          -         10476128  10477973  -     
intermediate  ABFL_008309  -         -         -          -         10478028  10478694  -     
intermediate  ABFL_008310  -         -         -          -         10478729  10480694  -     
intermediate  ABFL_008311  -         -         -          -         10480722  10482312  -     
intermediate  ABFL_008312  -         -         -          -         10482308  10482686  -     
intermediate  ABFL_008313  -         -         -          -         10483010  10484342  +     
intermediate  ABFL_008314  -         -         -          -         10484334  10485417  +     
intermediate  ABFL_008315  -         -         -          -         10485466  10486405  +     
intermediate  ABFL_008316  -         -         -          -         10486401  10486791  +     
intermediate  ABFL_008317  -         -         -          -         10486787  10487822  +     
intermediate  ABFL_008318  -         -         -          -         10487808  10488561  +     
intermediate  ABFL_008319  -         -         -          -         10488607  10489378  +     
intermediate  ABFL_008320  -         -         -          -         10489387  10490098  +     
intermediate  ABFL_008321  -         -         -          -         10490158  10491109  +     
intermediate  ABFL_008322  -         -         -          -         10491450  10492173  +     
intermediate  ABFL_008323  -         -         -          -         10492217  10492802  +     
intermediate  ABFL_008324  -         -         -          -         10493003  10493804  -     
intermediate  ABFL_008325  -         -         -          -         10493815  10494628  -     
intermediate  ABFL_008326  -         -         -          -         10494816  10495335  +     
intermediate  ABFL_008327  -         -         -          -         10495414  10496482  +     
intermediate  ABFL_008328  -         -         -          -         10496495  10497326  -     
intermediate  ABFL_008329  -         -         -          -         10497339  10498164  -     
intermediate  ABFL_008330  -         -         -          -         10498336  10498615  -     


GCA_002812405.1_ASM281240v1
===========================
CP025018.1
----------
Cluster 5, score 14.0691:
Query         Subject      Identity  Coverage  E-value    Bitscore  Start   End     Strand
intermediate  ABGJ_000323  -         -         -          -         333973  334252  +     
intermediate  ABGJ_000324  -         -         -          -         334238  334907  +     
intermediate  ABGJ_000325  -         -         -          -         334920  335310  -     
intermediate  ABGJ_000326  -         -         -          -         335370  335988  -     
intermediate  ABGJ_000327  -         -         -          -         336067  336526  -     
intermediate  ABGJ_000328  -         -         -          -         336708  337590  +     
intermediate  ABGJ_000329  -         -         -          -         337601  338402  +     
intermediate  ABGJ_000330  -         -         -          -         338603  339188  -     
intermediate  ABGJ_000331  -         -         -          -         339232  339955  -     
intermediate  ABGJ_000332  -         -         -          -         340297  341248  -     
intermediate  ABGJ_000333  -         -         -          -         341308  342019  -     
intermediate  ABGJ_000334  -         -         -          -         342028  342799  -     
intermediate  ABGJ_000335  -         -         -          -         342845  343598  -     
intermediate  ABGJ_000336  -         -         -          -         343584  344619  -     
intermediate  ABGJ_000337  -         -         -          -         344615  345005  -     
intermediate  ABGJ_000338  -         -         -          -         345001  345940  -     
intermediate  ABGJ_000339  -         -         -          -         345989  347072  -     
intermediate  ABGJ_000340  -         -         -          -         347064  348396  -     
intermediate  ABGJ_000341  -         -         -          -         348720  349098  +     
intermediate  ABGJ_000342  -         -         -          -         349094  350684  +     
intermediate  ABGJ_000343  -         -         -          -         350712  352677  +     
intermediate  ABGJ_000344  -         -         -          -         352712  353378  +     
intermediate  ABGJ_000345  -         -         -          -         353433  355278  +     
intermediate  ABGJ_000346  -         -         -          -         355542  357624  +     
CAA60461.1    ABGJ_000347  27.2      27.8      6.57e-28   128       357547  358897  -     
CAA60461.1    ABGJ_000348  34.3      31.6      6e-42      171       358958  360533  -     
intermediate  ABGJ_000349  -         -         -          -         360618  361398  -     
CAA60461.1    ABGJ_000350  28.6      67        1.66e-94   340       361394  364637  -     
intermediate  ABGJ_000351  -         -         -          -         364630  364882  -     
intermediate  ABGJ_000352  -         -         -          -         365113  366400  -     
intermediate  ABGJ_000353  -         -         -          -         366730  367813  +     
intermediate  ABGJ_000354  -         -         -          -         367815  369066  +     
intermediate  ABGJ_000355  -         -         -          -         369065  370310  +     
intermediate  ABGJ_000356  -         -         -          -         370156  370642  -     
intermediate  ABGJ_000357  -         -         -          -         370638  370998  -     
intermediate  ABGJ_000358  -         -         -          -         371537  374153  +     
CAA60459.1    ABGJ_000359  67.8      71.5      0          8997      374360  398168  -     
CAA60461.1    ABGJ_000360  72.4      98.6      0          2151      398398  402928  +     
CAA60459.1    ABGJ_000361  61        67.3      0          7849      402933  427350  +     
CAA60467.1    ABGJ_000362  81.3      100       3.19e-193  543       427438  428476  -     
CAA60468.1    ABGJ_000363  77.7      97        8.32e-181  512       428581  429694  +     
intermediate  ABGJ_000364  -         -         -          -         429728  430895  +     
intermediate  ABGJ_000365  -         -         -          -         430919  432101  +     
intermediate  ABGJ_000366  -         -         -          -         432193  432556  +     
intermediate  ABGJ_000367  -         -         -          -         432545  432896  -     
intermediate  ABGJ_000368  -         -         -          -         432892  434239  -     
intermediate  ABGJ_000369  -         -         -          -         434235  435234  -     
intermediate  ABGJ_000370  -         -         -          -         435230  435857  -     
intermediate  ABGJ_000371  -         -         -          -         435853  436330  -     
intermediate  ABGJ_000372  -         -         -          -         436281  436824  -     
intermediate  ABGJ_000373  -         -         -          -         437141  438437  -     
intermediate  ABGJ_000374  -         -         -          -         438616  439924  -     
intermediate  ABGJ_000375  -         -         -          -         439923  441888  -     
intermediate  ABGJ_000376  -         -         -          -         441884  443111  -     
intermediate  ABGJ_000377  -         -         -          -         443158  444328  -     
intermediate  ABGJ_000378  -         -         -          -         444327  445215  -     
intermediate  ABGJ_000379  -         -         -          -         445204  446458  -     
intermediate  ABGJ_000380  -         -         -          -         446454  448245  -     
intermediate  ABGJ_000381  -         -         -          -         448241  449066  -     
intermediate  ABGJ_000382  -         -         -          -         449062  450088  -     
intermediate  ABGJ_000383  -         -         -          -         450084  451686  -     
intermediate  ABGJ_000384  -         -         -          -         451750  452041  -     
intermediate  ABGJ_000385  -         -         -          -         452185  453325  -     
intermediate  ABGJ_000386  -         -         -          -         453415  454018  +     


GCA_002891865.1_ASM289186v1
===========================
LJIW01000002.1
--------------
Cluster 6, score 13.0341:
Query         Subject      Identity  Coverage  E-value    Bitscore  Start   End     Strand
intermediate  ABGV_005265  -         -         -          -         354204  354483  +     
intermediate  ABGV_005266  -         -         -          -         354655  355480  +     
intermediate  ABGV_005267  -         -         -          -         355493  356324  +     
intermediate  ABGV_005268  -         -         -          -         356337  357405  -     
intermediate  ABGV_005269  -         -         -          -         357484  358003  -     
intermediate  ABGV_005270  -         -         -          -         358191  359007  +     
intermediate  ABGV_005271  -         -         -          -         359018  359819  +     
intermediate  ABGV_005272  -         -         -          -         360020  360605  -     
intermediate  ABGV_005273  -         -         -          -         360649  361372  -     
intermediate  ABGV_005274  -         -         -          -         361713  362664  -     
intermediate  ABGV_005275  -         -         -          -         362724  363435  -     
intermediate  ABGV_005276  -         -         -          -         363444  364215  -     
intermediate  ABGV_005277  -         -         -          -         364261  365014  -     
intermediate  ABGV_005278  -         -         -          -         365000  366035  -     
intermediate  ABGV_005279  -         -         -          -         366031  366421  -     
intermediate  ABGV_005280  -         -         -          -         366417  367356  -     
intermediate  ABGV_005281  -         -         -          -         367405  368488  -     
intermediate  ABGV_005282  -         -         -          -         368480  369812  -     
intermediate  ABGV_005283  -         -         -          -         370136  370514  +     
intermediate  ABGV_005284  -         -         -          -         370510  372100  +     
intermediate  ABGV_005285  -         -         -          -         372128  374093  +     
intermediate  ABGV_005286  -         -         -          -         374128  374794  +     
intermediate  ABGV_005287  -         -         -          -         374849  376694  +     
intermediate  ABGV_005288  -         -         -          -         376766  378848  +     
CAA60461.1    ABGV_005289  27.2      27.8      8.83e-28   127       378771  380121  -     
CAA60461.1    ABGV_005290  34.3      31.6      1.09e-41   171       380182  381757  -     
intermediate  ABGV_005291  -         -         -          -         381842  382622  -     
intermediate  ABGV_005292  -         -         -          -         382618  385861  -     
intermediate  ABGV_005293  -         -         -          -         385854  386106  -     
intermediate  ABGV_005294  -         -         -          -         386339  387626  -     
intermediate  ABGV_005295  -         -         -          -         387956  389039  +     
intermediate  ABGV_005296  -         -         -          -         389041  390292  +     
intermediate  ABGV_005297  -         -         -          -         390291  391536  +     
intermediate  ABGV_005298  -         -         -          -         391382  391868  -     
intermediate  ABGV_005299  -         -         -          -         391864  392224  -     
intermediate  ABGV_005300  -         -         -          -         392763  395379  +     
CAA60459.1    ABGV_005301  67.6      71.5      0          8975      395587  419413  -     
CAA60461.1    ABGV_005302  72.4      98.6      0          2148      419643  424173  +     
CAA60459.1    ABGV_005303  61.1      67.3      0          7864      424178  448577  +     
CAA60467.1    ABGV_005304  81.3      100       3.57e-193  544       448664  449798  -     
CAA60468.1    ABGV_005305  78.3      97        8.32e-181  512       449807  450920  +     
intermediate  ABGV_005306  -         -         -          -         450954  452121  +     
intermediate  ABGV_005307  -         -         -          -         452145  453327  +     
intermediate  ABGV_005308  -         -         -          -         453550  454123  -     
intermediate  ABGV_005309  -         -         -          -         454119  455466  -     
intermediate  ABGV_005310  -         -         -          -         455462  456461  -     
intermediate  ABGV_005311  -         -         -          -         456457  457084  -     
intermediate  ABGV_005312  -         -         -          -         457080  458052  -     
intermediate  ABGV_005313  -         -         -          -         458369  459665  -     
intermediate  ABGV_005314  -         -         -          -         459844  461065  -     
intermediate  ABGV_005315  -         -         -          -         461151  463116  -     
intermediate  ABGV_005316  -         -         -          -         463112  464339  -     
intermediate  ABGV_005317  -         -         -          -         464361  465531  -     
intermediate  ABGV_005318  -         -         -          -         465530  466418  -     
intermediate  ABGV_005319  -         -         -          -         466407  467661  -     
intermediate  ABGV_005320  -         -         -          -         467657  469448  -     
intermediate  ABGV_005321  -         -         -          -         469444  470269  -     
intermediate  ABGV_005322  -         -         -          -         470265  471291  -     
intermediate  ABGV_005323  -         -         -          -         471287  472700  -     
intermediate  ABGV_005324  -         -         -          -         472953  473244  -     
intermediate  ABGV_005325  -         -         -          -         473388  474528  -     
intermediate  ABGV_005326  -         -         -          -         474618  475221  +     


GCA_003675955.1_ASM367595v1
===========================
QYCY01000001.1
--------------
Cluster 7, score 14.2739:
Query         Subject      Identity  Coverage  E-value    Bitscore  Start   End     Strand
intermediate  ABMM_000570  -         -         -          -         655235  656474  -     
intermediate  ABMM_000571  -         -         -          -         656463  657798  -     
intermediate  ABMM_000572  -         -         -          -         657874  659353  -     
intermediate  ABMM_000573  -         -         -          -         660029  660656  +     
intermediate  ABMM_000574  -         -         -          -         660684  661185  +     
intermediate  ABMM_000575  -         -         -          -         661210  662224  +     
intermediate  ABMM_000576  -         -         -          -         662245  662893  -     
intermediate  ABMM_000577  -         -         -          -         662938  664492  -     
intermediate  ABMM_000578  -         -         -          -         664488  666162  -     
intermediate  ABMM_000579  -         -         -          -         666224  667802  -     
intermediate  ABMM_000580  -         -         -          -         667892  669323  -     
intermediate  ABMM_000581  -         -         -          -         669601  670771  -     
intermediate  ABMM_000582  -         -         -          -         670861  671488  +     
intermediate  ABMM_000583  -         -         -          -         671507  672215  -     
intermediate  ABMM_000584  -         -         -          -         672221  673601  -     
intermediate  ABMM_000585  -         -         -          -         673635  674949  -     
intermediate  ABMM_000586  -         -         -          -         675154  675817  +     
intermediate  ABMM_000587  -         -         -          -         675807  677007  +     
intermediate  ABMM_000588  -         -         -          -         677054  677771  -     
intermediate  ABMM_000589  -         -         -          -         677790  678585  -     
CAA60459.1    ABMM_000590  99.1      99.9      0          19324     679026  709668  -     
CAA60459.1    ABMM_000591  75        71.1      0          10522     709691  735380  -     
CAA60461.1    ABMM_000592  97.9      96.6      0          2806      735921  740394  +     
CAA60459.1    ABMM_000593  72.7      59.3      0          8265      740398  759196  +     
intermediate  ABMM_000594  -         -         -          -         759265  759898  +     
intermediate  ABMM_000595  -         -         -          -         760000  760237  -     
intermediate  ABMM_000596  -         -         -          -         760230  761445  -     
intermediate  ABMM_000597  -         -         -          -         761458  762415  -     
CAA60467.1    ABMM_000598  98.5      100       2.66e-235  649       762518  763550  -     
